"Enabled","Aktiviert"
"API Url","API Url"
"API User","API Benutzer"
"API Password","API Passwort"
"General","Allgemein"
"Guest","Gast"
"Magento subscribers are successfully synchronized to Inxmail.","Die Newsletter-Abonnenten aus Magento wurden erfolgreich nach Inxmail synchronisiert."
"Synchronize All Subscribers","Alle Abonnenten synchronisieren"
"Inxmail List","Inxmail Mailingliste"
"Fields to synchronize","Felder synchronisieren"
"Synchronize all Magento subscribers to Inxmail","Alle Newsletter-Abonnenten nach Inxmail synchronisieren."
"Select your Inxmail list","Wählen Sie die Inxmail Mailingliste"
"Mapping <strong>{customer_attribute}:{inxmail_attribute}</strong><br/><span class="notice">If the {inxmail_attribute} is not defined, the value of {customer_attribute} will be taken</span>","Zuordnung <strong>{attribut_client}:{attribut_inxmail}</strong><br/><span class="notice">Wenn {attribut_inxmail} nicht definiert ist, wird der {attribut_client} Wert verwendet</span>"
"Synchronize now","Jetzt synchronisieren"
"Disabled","Deaktiviert"
"No list selected","Keine Mailingliste ausgewählt"
"No list defined in configuration","Keine Mailingliste in der Konfiguration definiert"
"No column available","Keine Spalte verfügbar"
"No list available","Keine Mailingliste verfügbar"
"Inxmail session does not exist","Inxmail-Sitzung nicht aktiv"
"Yes","Ja"
"No","Nein"
"Inxmail API Error: %s","Inxmail API Fehler: %s"
"Mapping Customer Fields","Zuordnung Kundenfelder"
"Mapping Dynamic Fields","Zuordnung Dynamische Felder"
"Customer ID","Kunden ID"
"Website ID","Website ID"
"Group ID","Gruppe ID"
"Store ID","Store ID"
"Creation Date","Erstellungsdatum"
"Update Date","Updatedatum"
"Customer is active","Kunde ist aktiv"
"Firstname","Vorname"
"Lastname","Nachname"
"First Order","Erste Bestellung"
"Last Order","Letzte Bestellung"
"Total Orders","Anzahl Bestellungen"
"AVG Orders","Durchschnittswert Bestellungen"
"Last Connection","Letzte Verbindung"
"Error truncating Inxmail list","Fehler während des Leerens der Inxmail Mailingliste"
"Mapping Customer Group","Zuordnung Kundengruppe"
"Customer Group","Kundengruppe"
"Specific groups customer limit","Limit Anzahl Kunden spezifische Kundengruppen"
"Last customers (specific)","Letzter Kunde(spezifisch)"
"Best customers (specific)","Beste Kunden(spezifisch)"
"Customers birthday (specific)","Kunden mit Geburtstag(spezifisch)"
"Abandonned carts (specific)","Abgebrochene Warenkörbe(spezifisch)"
"Today orders (specific)","Heutige Bestellungen(spezifisch)"
"You have selected the Birthday group even though the date of birth is not enabled on your shop","Sie haben die Geburtstagsgruppe ausgewählt, obwohl das Geburtstagsdatum im Shop nicht aktiviert ist"
"You have selected the Birthday group even though the date of birth is not enabled on your shop","You have selected the Birthday group even though the date of birth is not enabled on your shop"
"Image Width","Bildbreite"
"Image Height","Bildhöhe"
"Add Specific Attributes","Spezielle Attribute hinzufügen"
"Number Of Products In The Feed","Anzahl der Produkte im Product Feed"
"Unsubscribed customer synchronization","Abgemeldete Kunden synchronisieren"
"Customer groups synchronization","Kundengruppen synchronisieren"
"Frequency","Intervall"
"Start Time","Startzeit"
"Daily","Täglich"
"Weekly","Wöchentlich"
"Monthly","Monatlich"
"Mapping","Zuordnung"
"Launch manually","Manuell starten"
"Synchronize All Groups","Alle Gruppen synchronisieren"
"Customers per pass","Kunden pro Transfer"
"Subscribers per pass","Abonnenten pro Transfer"
"Subscribers synchronization","Abonnenten-Synchronisation"
"Create Inxmail column","Inxmail-Spalte erstellen"
